rank,language,fname,packages,scripts,share,calls
1948,R,corFactor,nlme,1,0.0001,1
1949,R,corGaus,nlme,1,0.0001,1
1950,R,corLin,nlme,1,0.0001,1
1951,R,corRatio,nlme,1,0.0001,2
1952,R,corSpher,nlme,1,0.0001,2
1953,R,corr.test,psych,1,0.0001,16
1954,R,corresp,MASS,1,0.0001,4
1955,R,cortest.bartlett,psych,1,0.0001,1
1956,Python,cov,scipy.stats,1,0.0002,12
1957,R,cov.mcd,MASS,1,0.0001,1
1958,R,cov.trob,MASS,1,0.0001,1
1959,Python,coverage_error,sklearn.metrics,1,0.0002,43
1960,R,cpgram,stats,1,0.0001,9
1961,Python,cramervonmises,scipy.stats,1,0.0002,8
1962,Python,cramervonmises_2samp,scipy.stats,1,0.0002,18
1963,R,createFolds,caret,1,0.0001,1
1964,R,cronbach.alpha,ltm,1,0.0001,1
1965,R,crosstab,raster,1,0.0001,1
1966,Python,crystalball,scipy.stats,1,0.0002,1
1967,Python,cumfreq,scipy.stats,1,0.0002,3
1968,R,cumulative,VGAM;brms,1,0.0001,7
1969,R,cv,survey,1,0.0001,2
1970,Python,davies_bouldin_score,sklearn.metrics,1,0.0002,5
1971,R,dbDataType,sf,1,0.0001,2
1972,Python,dcg_score,sklearn.metrics,1,0.0002,2
1973,Python,dcsrch,scipy.optimize,1,0.0002,1
1974,R,ddirichlet,MCMCpack;brms,1,0.0001,1
1975,R,decompose.graph,igraph,1,0.0001,1
1976,R,degAxis,sp,1,0.0001,2
1977,R,degrees_freedom,fixest,1,0.0001,4
1978,R,delete.edges,igraph;network,1,0.0001,1
1979,R,delete.vertices,igraph;network,1,0.0001,4
1980,R,deltat,stats,1,0.0001,2
1981,R,depracatedWarnings,raster,1,0.0001,1
1982,R,deratify,raster,1,0.0001,1
1983,R,descr,sjmisc,1,0.0001,1
1984,R,destPoint,geosphere,1,0.0001,6
1985,R,destPointRhumb,geosphere,1,0.0001,1
1986,R,dfun,metafor;sna,1,0.0001,2
1987,Python,diagbroyden,scipy.optimize,1,0.0002,1
1988,Python,differential_entropy,scipy.stats,1,0.0002,18
1989,R,diffinv,stats,1,0.0001,1
1990,Python,dirichlet,scipy.stats,1,0.0002,6
1991,Python,discrepancy,scipy.stats,1,0.0002,20
1992,R,dist2Line,geosphere,1,0.0001,1
1993,R,dist2gc,geosphere,1,0.0001,1
1994,R,distCosine,geosphere,1,0.0001,4
1995,R,distRhumb,geosphere,1,0.0001,1
1996,R,distVincentyEllipsoid,geosphere,1,0.0001,1
1997,R,distVincentySphere,geosphere,1,0.0001,1
1998,R,distanceFromPoints,raster,1,0.0001,5
1999,Python,dlaplace,scipy.stats,1,0.0002,3
2000,R,dnorm2,VGAM,1,0.0001,1
2001,R,dose.p,MASS,1,0.0001,2
2002,R,drapecolor,raster,1,0.0001,1
2003,R,drawPoly,raster,1,0.0001,2
2004,R,drop1,stats,1,0.0001,1
2005,Python,dual_annealing,scipy.optimize,1,0.0002,22
2006,R,dummy.coef,stats,1,0.0001,1
2007,R,edges,igraph;sna,1,0.0001,1
2008,R,eff_size,emmeans,1,0.0001,1
2009,Python,empty,scipy.optimize,1,0.0002,1
2010,Python,energy_distance,scipy.stats,1,0.0002,16
2011,Python,entropy,sklearn.metrics,1,0.0002,4
2012,Python,epps_singleton_2samp,scipy.stats,1,0.0002,6
2013,Python,eqp_kktfact,scipy.optimize,1,0.0002,3
2014,R,erf,VGAM,1,0.0001,4
2015,R,erfc,VGAM,1,0.0001,1
2016,Python,estimate_smallest_singular_value,scipy.optimize,1,0.0002,1
2017,Python,evaluate_quadratic,scipy.optimize,1,0.0002,4
2018,Python,excitingmixing,scipy.optimize,1,0.0002,1
2019,Python,expect,scipy.stats,1,0.0002,28
2020,R,expectation,coin,1,0.0001,1
2021,Python,expected_freq,scipy.stats,1,0.0002,3
2022,Python,expected_mutual_information,sklearn.metrics,1,0.0002,2
2023,R,expint,VGAM,1,0.0001,2
2024,Python,explained_variance_score,sklearn.metrics,1,0.0002,7
2025,Python,expon,scipy.stats,1,0.0002,2
2026,R,extract_draws,brms,1,0.0001,1
2027,R,extralines_register,fixest,1,0.0001,7
2028,Python,f,numpy.random,1,0.0002,1
2029,R,fa.diagram,psych,1,0.0001,1
2030,R,fac2Sparse,Matrix,1,0.0001,1
2031,R,fac2sparse,Matrix,1,0.0001,2
2032,R,facet_text,bayesplot,1,0.0001,1
2033,R,factanal,stats,1,0.0001,1
2034,R,feglm.fit,fixest,1,0.0001,3
2035,R,filter_all,srvyr,1,0.0001,1
2036,R,finalBearing,geosphere,1,0.0001,1
2037,Python,find_active_constraints,scipy.optimize,1,0.0002,8
2038,Python,find_repeats,scipy.stats,1,0.0002,2
2039,Python,fisher_exact,scipy.stats,1,0.0002,7
2040,Python,fit,scipy.stats,1,0.0002,66
